Year,Economy,Economy Label,Partner,Partner Label,Product,Product Label,Flow,Flow Label,US$ at current prices in thousands,US$ at current prices in thousands Footnote,US$ at current prices in thousands Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value"
2012,156,"China",528,"Netherlands (Kingdom of the)",O_TOT,"Total",02,"Exports",1933170.359,,,,,"No value reported or collected"
2012,156,"China",528,"Netherlands (Kingdom of the)",O_TOT,"Total",01,"Imports",423986.93,,,,,"No value reported or collected"
2012,156,"China",682,"Saudi Arabia",O_TOT,"Total",02,"Exports",981007.346,,,,,"No value reported or collected"
2012,156,"China",682,"Saudi Arabia",O_TOT,"Total",01,"Imports",50045.892,,,,,"No value reported or collected"
2012,156,"China",784,"United Arab Emirates",O_TOT,"Total",02,"Exports",897360.754,,,,,"No value reported or collected"
2012,156,"China",784,"United Arab Emirates",O_TOT,"Total",01,"Imports",6682.431,,,,,"No value reported or collected"
2012,528,"Netherlands (Kingdom of the)",156,"China",O_TOT,"Total",02,"Exports",427973.354,,,,,"No value reported or collected"
2012,528,"Netherlands (Kingdom of the)",156,"China",O_TOT,"Total",01,"Imports",880751.615,,,,,"No value reported or collected"
2012,643,"Russian Federation",760,"Syrian Arab Republic",O_TOT,"Total",02,"Exports",652.335,,,,,"No value reported or collected"
2012,643,"Russian Federation",760,"Syrian Arab Republic",O_TOT,"Total",01,"Imports",65.786,,,,,"No value reported or collected"
2012,682,"Saudi Arabia",156,"China",O_TOT,"Total",02,"Exports",48048.833,,,,,"No value reported or collected"
2012,682,"Saudi Arabia",156,"China",O_TOT,"Total",01,"Imports",545985.32,,,,,"No value reported or collected"
2012,784,"United Arab Emirates",156,"China",O_TOT,"Total",02,"Exports",21310.511,,,,,"No value reported or collected"
2012,784,"United Arab Emirates",156,"China",O_TOT,"Total",01,"Imports",577290.086,,,,,"No value reported or collected"
2012,887,"Yemen",408,"Dem. People's Rep. of Korea",O_TOT,"Total",02,"Exports",2.411,,,,,"No value reported or collected"
2012,887,"Yemen",408,"Dem. People's Rep. of Korea",O_TOT,"Total",01,"Imports",0.215,,,,,"No value reported or collected"
2012,887,"Yemen",364,"Iran (Islamic Republic of)",O_TOT,"Total",01,"Imports",485.647,,,,,"No value reported or collected"
2012,156,"China",528,"Netherlands (Kingdom of the)",O_TOT,"Total",02,"Exports",1933170.359,,,,,"No value reported or collected"
2012,156,"China",528,"Netherlands (Kingdom of the)",O_TOT,"Total",01,"Imports",423986.93,,,,,"No value reported or collected"
2012,156,"China",682,"Saudi Arabia",O_TOT,"Total",02,"Exports",981007.346,,,,,"No value reported or collected"
2012,156,"China",682,"Saudi Arabia",O_TOT,"Total",01,"Imports",50045.892,,,,,"No value reported or collected"
2012,156,"China",784,"United Arab Emirates",O_TOT,"Total",02,"Exports",897360.754,,,,,"No value reported or collected"
2012,156,"China",784,"United Arab Emirates",O_TOT,"Total",01,"Imports",6682.431,,,,,"No value reported or collected"
2012,528,"Netherlands (Kingdom of the)",156,"China",O_TOT,"Total",02,"Exports",427973.354,,,,,"No value reported or collected"
2012,528,"Netherlands (Kingdom of the)",156,"China",O_TOT,"Total",01,"Imports",880751.615,,,,,"No value reported or collected"
2012,643,"Russian Federation",760,"Syrian Arab Republic",O_TOT,"Total",02,"Exports",652.335,,,,,"No value reported or collected"
2012,643,"Russian Federation",760,"Syrian Arab Republic",O_TOT,"Total",01,"Imports",65.786,,,,,"No value reported or collected"
2012,682,"Saudi Arabia",156,"China",O_TOT,"Total",02,"Exports",48048.833,,,,,"No value reported or collected"
2012,682,"Saudi Arabia",156,"China",O_TOT,"Total",01,"Imports",545985.32,,,,,"No value reported or collected"
2012,784,"United Arab Emirates",156,"China",O_TOT,"Total",02,"Exports",21310.511,,,,,"No value reported or collected"
