Year,Economy,Economy Label,TEU (Twenty foot Equivalent Unit),TEU (Twenty foot Equivalent Unit) Footnote,TEU (Twenty foot Equivalent Unit) Missing value
2010,0000,"World",545520944,,
2010,5100,"Africa",23416816,,
2010,5110,"Northern Africa",12024778,,
2010,5120,"Sub-Saharan Africa",11392038,,
2010,5121,"Eastern Africa",2297961,,
2010,5122,"Middle Africa",1478340,,
2010,5123,"Southern Africa",4233278,,
2010,5124,"Western Africa",3382459,,
2010,5200,"Americas",84179473,,
2010,5210,"Northern America",44937011,,
2010,5220,"Latin America and the Caribbean",39242462,,
2010,5221,"Caribbean",7673944,,
2010,5222,"Central America",12145350,,
2010,5223,"South America",19423168,,
2010,5300,"Asia",342459718,,
2010,5330,"Eastern Asia",211698789,,
2010,5350,"South-eastern Asia",74642005,,
2010,5320,"Southern Asia",19910416,,
2010,5340,"Western Asia",36208508,,
2010,5400,"Europe",86188340,,
2010,5410,"Eastern Europe",5758409,,
2010,5420,"Northern Europe",13928125,,
2010,5430,"Southern Europe",28225543,,
2010,5440,"Western Europe",38276263,,
2010,5500,"Oceania",9276596,,
2010,5520,"Australia and New Zealand",8769308,,
2010,5510,"Oceania excluding Australia and New Zealand",507288,,
2010,008,"Albania",70000,,
2010,012,"Algeria",1198828,,
2010,024,"Angola",611050,,
2010,028,"Antigua and Barbuda",24615,,
2010,032,"Argentina",2017388,,
2010,533,"Aruba",49558,,
2010,036,"Australia",6451689,,
2010,044,"Bahamas",1155000,,
2010,048,"Bahrain",367589,,
2010,050,"Bangladesh",1364139,,
2010,052,"Barbados",80424,,
2010,056,"Belgium",9988291,,
2010,084,"Belize",31917,,
2010,076,"Brazil",7223103,,
2010,096,"Brunei Darussalam",86000,,
2010,100,"Bulgaria",142611,,
2010,132,"Cabo Verde",54873,,
2010,116,"Cambodia",222928,,
2010,120,"Cameroon",290000,,
2010,124,"Canada",4670790,,
2010,136,"Cayman Islands",45649,,
2010,152,"Chile",3157758,,
2010,156,"China",136044183,,
2010,344,"China, Hong Kong SAR",23699000,,
2010,158,"China, Taiwan Province of",12736948,,
2010,170,"Colombia",2446523,,
2010,178,"Congo",355000,,
2010,188,"Costa Rica",1013483,,
2010,384,"Cote d'Ivoire",717700,,
2010,191,"Croatia",160600,,
2010,192,"Cuba",228346,,
2010,531,"Curacao",,,"Not applicable"
2010,196,"Cyprus",349163,,
2010,180,"Dem. Rep. of the Congo",59133,,
2010,208,"Denmark",698012,,
2010,262,"Djibouti",406407,,
2010,214,"Dominican Republic",1382905,,
2010,218,"Ecuador",1209347,,
2010,818,"Egypt",6715321,,
2010,222,"El Salvador",145774,,
2010,226,"Equatorial Guinea",9500,,
2010,233,"Estonia",,,"Not publishable"
2010,246,"Finland",1219391,,
2010,250,"France",3915704,,
2010,254,"French Guiana",39372,,
2010,258,"French Polynesia",68889,,
2010,266,"Gabon",153657,,
2010,268,"Georgia",242433,,
2010,276,"Germany",13037702,,
2010,288,"Ghana",643188,,
2010,300,"Greece",1177767,,
2010,308,"Grenada",15011,,
2010,312,"Guadeloupe",150540,,
2010,316,"Guam",183214,,
2010,320,"Guatemala",970635,,
2010,324,"Guinea",115567,,
2010,328,"Guyana",59850,,
2010,332,"Haiti",163456,,
2010,340,"Honduras",619867,,
2010,352,"Iceland",192778,,
2010,356,"India",9235765,,
2010,360,"Indonesia",8684768,,
2010,364,"Iran (Islamic Republic of)",2966512,,
2010,372,"Ireland",782115,,
2010,376,"Israel",2281552,,
2010,380,"Italy",9762077,,
2010,388,"Jamaica",1891770,,
2010,392,"Japan",20016486,,
2010,400,"Jordan",605659,,
2010,404,"Kenya",695600,,
2010,428,"Latvia",256252,,
2010,422,"Lebanon",949155,,
2010,434,"Libya",259319,,
2010,440,"Lithuania",294954,,
2010,458,"Malaysia",18133368,,
2010,470,"Malta",2414479,,
2010,474,"Martinique",150710,,
2010,480,"Mauritius",332662,,
2010,175,"Mayotte",52316,,
2010,484,"Mexico",3704765,,
2010,499,"Montenegro",27600,,
2010,504,"Morocco",2946000,,
2010,508,"Mozambique",,,"Not publishable"
2010,104,"Myanmar",335346,,
2010,516,"Namibia",247743,,
2010,528,"Netherlands (Kingdom of the)",11334566,,
2010,530,"Netherlands Antilles",164465,,
2010,540,"New Caledonia",90574,,
2010,554,"New Zealand",2317619,,
2010,558,"Nicaragua",68224,,
2010,566,"Nigeria",1162000,,
2010,578,"Norway",636086,,
2010,512,"Oman",3893198,,
2010,586,"Pakistan",2224000,,
2010,591,"Panama",5590685,,
2010,598,"Papua New Guinea",142146,,
2010,604,"Peru",1529846,,
2010,608,"Philippines",5138014,,
2010,616,"Poland",1050345,,
2010,620,"Portugal",1636246,,
2010,630,"Puerto Rico",1525532,,
2010,634,"Qatar",346500,,
2010,410,"Republic of Korea",19202172,,
2010,638,"Reunion",216179,,
2010,642,"Romania",556694,,
2010,643,"Russian Federation",3318499,,
2010,662,"Saint Lucia",52479,,
2010,670,"Saint Vincent and the Grenadines",16967,,
2010,882,"Samoa",22465,,
2010,682,"Saudi Arabia",5313023,,
2010,686,"Senegal",349231,,
2010,702,"Singapore",28431100,,
2010,534,"Sint Maarten (Dutch part)",,,"Not applicable"
2010,705,"Slovenia",476731,,
2010,710,"South Africa",3985535,,
2010,724,"Spain",12500043,,
2010,144,"Sri Lanka",4120000,,
2010,729,"Sudan",,,"Not applicable"
2010,736,"Sudan (...2011)",439100,,
2010,740,"Suriname",59583,,
2010,752,"Sweden",1397145,,
2010,760,"Syrian Arab Republic",586283,,
2010,764,"Thailand",7179449,,
2010,768,"Togo",339900,,
2010,780,"Trinidad and Tobago",576517,,
2010,788,"Tunisia",466210,,
2010,792,"Turkiye",5743429,,
2010,804,"Ukraine",690260,,
2010,784,"United Arab Emirates",15140524,,
2010,826,"United Kingdom",8224935,,
2010,834,"United Republic of Tanzania",359010,,
2010,840,"United States",40266221,,
2010,858,"Uruguay",608712,,
2010,862,"Venezuela (Bolivarian Rep. of)",1071686,,
2010,704,"Viet Nam",6431032,,
2010,887,"Yemen",390000,,
2010,5600,"Asia and Oceania",351736314,,
2010,5702,"Northern America and Europe",131125351,,
2010,5706,"Europe, Northern America, Australia and New Zealand",139894659,,
2010,5703,"Central and Southern Asia",19910416,,
2010,5704,"Eastern and South-Eastern Asia",286340794,,
2010,5705,"Western Asia and Northern Africa",48233286,,
2010,1400,"Developing economies",363776911,,
2010,1410,"Developing economies: Africa",23416816,,
2010,1411,"Developing economies: Northern Africa",12024778,,
2010,1412,"Developing economies: Sub-Saharan Africa",11392038,,
2010,1420,"Developing economies: Americas",39242462,,
2010,1460,"Developing economies: Asia and Oceania",301117633,,
2010,1430,"Developing economies: Asia",300610345,,
2010,1433,"Developing economies: Eastern Asia",172480131,,
2010,1435,"Developing economies: South-eastern Asia",74642005,,
2010,1432,"Developing economies: Southern Asia",19910416,,
