Date의 연도,Missile Name,Missile Family,Launches
2024,Unknown,*,4
2023,Unknown,*,10
2022,Unknown,*,40
2021,Unknown,,
2020,Unknown,,
2019,Unknown,*,3
2018,Unknown,,
2017,Unknown,Unknown,1
2016,Unknown,,
2015,Unknown,,
2014,Unknown,,
2013,Unknown,,
2012,Unknown,,
2011,Unknown,,
2010,Unknown,,
2009,Unknown,,
2008,Unknown,,
2007,Unknown,,
2006,Unknown,,
2005,Unknown,,
2004,Unknown,,
2003,Unknown,,
2002,Unknown,,
2001,Unknown,,
2000,Unknown,,
1999,Unknown,,
1998,Unknown,,
1997,Unknown,,
1996,Unknown,,
1995,Unknown,,
1994,Unknown,,
1993,Unknown,,
1992,Unknown,,
1991,Unknown,,
1990,Unknown,,
1989,Unknown,,
1988,Unknown,,
1987,Unknown,,
1986,Unknown,Unknown,1
1985,Unknown,,
1984,Unknown,,
2024,Unha-3,,
2023,Unha-3,,
2022,Unha-3,,
2021,Unha-3,,
2020,Unha-3,,
2019,Unha-3,,
2018,Unha-3,,
2017,Unha-3,,
2016,Unha-3,Space Launch Vehicle,1
2015,Unha-3,,
2014,Unha-3,,
2013,Unha-3,,
2012,Unha-3,Space Launch Vehicle,2
2011,Unha-3,,
2010,Unha-3,,
2009,Unha-3,,
2008,Unha-3,,
2007,Unha-3,,
2006,Unha-3,,
2005,Unha-3,,
2004,Unha-3,,
2003,Unha-3,,
2002,Unha-3,,
2001,Unha-3,,
2000,Unha-3,,
1999,Unha-3,,
1998,Unha-3,,
1997,Unha-3,,
1996,Unha-3,,
1995,Unha-3,,
1994,Unha-3,,
1993,Unha-3,,
1992,Unha-3,,
1991,Unha-3,,
1990,Unha-3,,
1989,Unha-3,,
1988,Unha-3,,
1987,Unha-3,,
1986,Unha-3,,
1985,Unha-3,,
1984,Unha-3,,
2024,Unha,,
2023,Unha,,
2022,Unha,,
2021,Unha,,
2020,Unha,,
2019,Unha,,
2018,Unha,,
2017,Unha,,
2016,Unha,,
2015,Unha,,
2014,Unha,,
2013,Unha,,
2012,Unha,,
2011,Unha,,
2010,Unha,,
2009,Unha,Space Launch Vehicle,1
2008,Unha,,
2007,Unha,,
2006,Unha,Space Launch Vehicle,1
2005,Unha,,
2004,Unha,,
2003,Unha,,
2002,Unha,,
2001,Unha,,
2000,Unha,,
1999,Unha,,
1998,Unha,,
1997,Unha,,
1996,Unha,,
1995,Unha,,
1994,Unha,,
1993,Unha,,
1992,Unha,,
1991,Unha,,
1990,Unha,,
1989,Unha,,
1988,Unha,,
1987,Unha,,
1986,Unha,,
1985,Unha,,
1984,Unha,,
2024,Taepodong-1,,
2023,Taepodong-1,,
2022,Taepodong-1,,
2021,Taepodong-1,,
2020,Taepodong-1,,
2019,Taepodong-1,,
2018,Taepodong-1,,
2017,Taepodong-1,,
2016,Taepodong-1,,
2015,Taepodong-1,,
2014,Taepodong-1,,
2013,Taepodong-1,,
2012,Taepodong-1,,
2011,Taepodong-1,,
2010,Taepodong-1,,
2009,Taepodong-1,,
2008,Taepodong-1,,
2007,Taepodong-1,,
2006,Taepodong-1,,
2005,Taepodong-1,,
2004,Taepodong-1,,
2003,Taepodong-1,,
2002,Taepodong-1,,
2001,Taepodong-1,,
2000,Taepodong-1,,
1999,Taepodong-1,,
1998,Taepodong-1,Space Launch Vehicle,1
1997,Taepodong-1,,
1996,Taepodong-1,,
1995,Taepodong-1,,
1994,Taepodong-1,,
1993,Taepodong-1,,
1992,Taepodong-1,,
1991,Taepodong-1,,
1990,Taepodong-1,,
1989,Taepodong-1,,
1988,Taepodong-1,,
1987,Taepodong-1,,
1986,Taepodong-1,,
1985,Taepodong-1,,
1984,Taepodong-1,,
2024,Silo-based KN-23,,
2023,Silo-based KN-23,Short Range Ballistic Missile,1
2022,Silo-based KN-23,,
2021,Silo-based KN-23,,
2020,Silo-based KN-23,,
2019,Silo-based KN-23,,
2018,Silo-based KN-23,,
2017,Silo-based KN-23,,
2016,Silo-based KN-23,,
2015,Silo-based KN-23,,
2014,Silo-based KN-23,,
2013,Silo-based KN-23,,
2012,Silo-based KN-23,,
2011,Silo-based KN-23,,
2010,Silo-based KN-23,,
2009,Silo-based KN-23,,
2008,Silo-based KN-23,,
2007,Silo-based KN-23,,
2006,Silo-based KN-23,,
2005,Silo-based KN-23,,
2004,Silo-based KN-23,,
2003,Silo-based KN-23,,
2002,Silo-based KN-23,,
2001,Silo-based KN-23,,
2000,Silo-based KN-23,,
1999,Silo-based KN-23,,
1998,Silo-based KN-23,,
1997,Silo-based KN-23,,
1996,Silo-based KN-23,,
1995,Silo-based KN-23,,
1994,Silo-based KN-23,,
1993,Silo-based KN-23,,
